TED_waveform,TED_transcript
2099_AdamGarone_2011X,<unk> the ceo of the prostate cancer foundation i said to him i 've got the most amazing idea that 's going to transform your organization
2100_AdamGarone_2011X,laughter and i didn 't want to share with him the idea over the phone so i convinced him to meet with me for coffee in melbourne in two thousand and four <unk>
2101_AdamGarone_2011X,and we sat down and i shared with him my vision of getting men growing mustaches across australia raising awareness for this cause <unk>
2102_AdamGarone_2011X,and funds for his organization and i needed a partnership to legitimately do that
2103_AdamGarone_2011X,i said we 're going to come together at the end we 're going to have a mustache themed party we 're going to have djs <unk> we 're going to celebrate life <unk> and we 're going to change the face of men 's health
2104_AdamGarone_2011X,and he just looked at me and laughed and he said he
2105_AdamGarone_2011X,said adam that 's a really novel idea <unk>
2106_AdamGarone_2011X,but we 're an ultraconservative organization <unk> we can 't have anything to do with you
2107_AdamGarone_2011X,so i paid for coffee that day
2108_AdamGarone_2011X,and
2109_AdamGarone_2011X,his parting comment as we shook hands was listen if you happen to raise any money out of this we 'll gladly take it
2110_AdamGarone_2011X,so my lesson that year was persistence <unk> and we persisted <unk> and we got four hundred and fifty
2111_AdamGarone_2011X,<unk> and we donated every cent of that to the prostate cancer foundation of australia and that represented at the time the single biggest donation they 'd ever received <unk>
2112_AdamGarone_2011X,so from that day forward <unk> my life has become about a mustache <unk> every day this morning i wake up and go my life is about a mustache
2113_AdamGarone_2011X,<unk> so in two thousand and five the campaign
2114_AdamGarone_2011X,got more momentum was more successful in australia and then new zealand <unk>
2115_AdamGarone_2011X,and then in two thousand and six we came to a pivotal point it was
2116_AdamGarone_2011X,consuming so much of our time after hours on weekends
2117_AdamGarone_2011X,that we thought we either need to close this down or figure a way to fund movember so that i could quit my job and go and spend more time in the organization and take it to the next level
2118_AdamGarone_2011X,it 's really interesting when you try and figure a way to fund a fundraising organization built off growing mustaches
2119_AdamGarone_2011X,let me tell you that there 's not too many people interested in
2120_AdamGarone_2011X,<unk> not even the prostate cancer foundation <unk> who we 'd raised about one point two million dollars for at that stage
2121_AdamGarone_2011X,so again we persisted <unk> and foster 's brewing came to the party and gave us our first ever
2122_AdamGarone_2011X,sponsorship and that was enough for me to quit my job i did consulting on the side <unk> and leading into movember
2123_AdamGarone_2011X,two thousand and six we 'd run through all
2124_AdamGarone_2011X,<unk> run through all the money i had and essentially we had no money left <unk> and we 'd convinced all our suppliers creative agencies web development agencies hosting companies <unk> whatnot to delay their billing until december
2125_AdamGarone_2011X,so we 'd racked up at this stage about six hundred thousand dollars worth of
2126_AdamGarone_2011X,debt <unk> so if movember two thousand and six didn 't happen the four founders <unk> well <unk> we would 've been broke <unk> we would 've been homeless sitting on the street with mustaches
2127_AdamGarone_2011X,<unk> you know what if that 's the worst thing that happens <unk> so what we 're going to have a lot of fun doing it and it taught us the importance of taking risks and really smart risks
2128_AdamGarone_2011X,then in early two thousand and seven a really interesting thing happened
2129_AdamGarone_2011X,we had mo bros from from canada from the u s and from the u k emailing us and
2130_AdamGarone_2011X,calling us and saying hey there 's nothing for prostate cancer bring this campaign to these countries <unk>
2131_AdamGarone_2011X,so we thought why not let 's do it <unk>
2132_AdamGarone_2011X,so i cold called the ceo of prostate cancer canada <unk> and i said to him i have this most amazing concept it
2133_AdamGarone_2011X,'s going to transform your organization
2134_AdamGarone_2011X,i don 't want to tell you about it now but will you meet with me if i fly all the way to toronto so i flew here met down on front street east <unk> and we sat in the boardroom <unk> and i said
2135_AdamGarone_2011X,<unk> vision
2136_AdamGarone_2011X,of getting men growing mustaches all across canada raising awareness and funds for your organization
2137_AdamGarone_2011X,and he looked at me and laughed and said adam <unk> sounds like a really novel idea but we 're an ultraconservative organization
2138_AdamGarone_2011X,i 've heard this before i know how it goes <unk>
2139_AdamGarone_2011X,but he said we will partner with you <unk> but we 're not going to invest in it you need to figure a way to bring this campaign across here and make it work
2140_AdamGarone_2011X,so what we did was we took some of the money that we raised in australia to bring the campaign across to this country the u s and the u k and we did that because we knew if this was successful we could raise infinitely <unk>
2141_AdamGarone_2011X,<unk> more money globally than we could just in australia and that money fuels research and that research will get us to a cure and we 're not about finding an australian cure or a canadian
2142_AdamGarone_2011X,<unk> about finding the cure <unk>
2143_AdamGarone_2011X,so in two thousand and seven <unk> we brought the campaign across here and it was it set the stage
2144_AdamGarone_2011X,for the campaign it wasn 't as successful as we thought it would be we were sort of very gung ho with our success in australia
2145_AdamGarone_2011X,and new zealand at that stage <unk> so that year really taught us the importance of being patient
2146_AdamGarone_2011X,and really understanding the local market before you become so bold as to set lofty targets
2147_AdamGarone_2011X,<unk> but what i 'm really pleased to say is in two thousand and ten movember became a truly global movement canada was just pipped to the post in terms of the number one fundraising campaign in the world <unk>
2148_AdamGarone_2011X,last year we had four hundred and fifty thousand mo bros spread across the world and together we raised
2149_AdamGarone_2011X,<unk> and that makes movember now the biggest funder of prostate cancer research and support programs in the world <unk>
2150_AdamGarone_2011X,and that is an amazing achievement when you think about us growing mustaches
2151_AdamGarone_2011X,laughter and for us we have redefined charity our ribbon is a hairy ribbon
2152_AdamGarone_2011X,our ambassadors are the mo bros and
2153_AdamGarone_2011X,<unk> the mo sistas and i think that 's been fundamental to our success <unk>
2154_AdamGarone_2011X,we hand across our brand and our campaign to those people we let them embrace it and interpret it in their own way <unk>
2155_AdamGarone_2011X,so now i live in in los angeles because the prostate cancer foundation of the u s is based there <unk> and i always get asked by the media down there because
2156_AdamGarone_2011X,<unk> single person every single mo bro and mo sista that participates in movember is our celebrity ambassador <unk> and that is so so important and fundamental to our success
